LAT,LON,GRIDMET_ID,ELEV_M,ELEV_FT,FIPS_C,STPO,COUNTYNAME,CNTYCATEGO,STATENAME,HUC8,STATION_ID,GRID_FILE_PATH
45.525,-119.8083333,680645,425.32,1395.41,41049.0,OR,Morrow,County,Oregon,17070104,680645,E:\or_statewide\climate_data\gridmet_historical_680645.csv
45.525,-119.766666633,680646,471.72,1547.64,41049.0,OR,Morrow,County,Oregon,17070101,680646,E:\or_statewide\climate_data\gridmet_historical_680646.csv
45.525,-119.724999967,680647,451.72,1482.02,41049.0,OR,Morrow,County,Oregon,17070101,680647,E:\or_statewide\climate_data\gridmet_historical_680647.csv
45.525,-119.6833333,680648,414.76,1360.76,41049.0,OR,Morrow,County,Oregon,17070101,680648,E:\or_statewide\climate_data\gridmet_historical_680648.csv
45.525,-119.641666633,680649,405.96,1331.89,41049.0,OR,Morrow,County,Oregon,17070101,680649,E:\or_statewide\climate_data\gridmet_historical_680649.csv
45.525,-119.599999967,680650,440.72,1445.93,41049.0,OR,Morrow,County,Oregon,17070101,680650,E:\or_statewide\climate_data\gridmet_historical_680650.csv
45.525,-119.5583333,680651,478.64,1570.34,41049.0,OR,Morrow,County,Oregon,17070101,680651,E:\or_statewide\climate_data\gridmet_historical_680651.csv
45.525,-119.516666633,680652,490.68,1609.84,41049.0,OR,Morrow,County,Oregon,17070103,680652,E:\or_statewide\climate_data\gridmet_historical_680652.csv
45.525,-119.474999967,680653,565.56,1855.51,41049.0,OR,Morrow,County,Oregon,17070103,680653,E:\or_statewide\climate_data\gridmet_historical_680653.csv
45.525,-119.4333333,680654,555.08,1821.13,41049.0,OR,Morrow,County,Oregon,17070103,680654,E:\or_statewide\climate_data\gridmet_historical_680654.csv
45.525,-119.391666633,680655,567.32,1861.29,41049.0,OR,Morrow,County,Oregon,17070103,680655,E:\or_statewide\climate_data\gridmet_historical_680655.csv
45.525,-119.349999967,680656,572.0,1876.64,41049.0,OR,Morrow,County,Oregon,17070103,680656,E:\or_statewide\climate_data\gridmet_historical_680656.csv
45.525,-119.3083333,680657,551.8,1810.37,41049.0,OR,Morrow,County,Oregon,17070103,680657,E:\or_statewide\climate_data\gridmet_historical_680657.csv
45.525,-119.266666633,680658,586.32,1923.62,41049.0,OR,Morrow,County,Oregon,17070103,680658,E:\or_statewide\climate_data\gridmet_historical_680658.csv
45.525,-119.224999967,680659,615.0,2017.72,41059.0,OR,Umatilla,County,Oregon,17070103,680659,E:\or_statewide\climate_data\gridmet_historical_680659.csv
45.525,-119.1833333,680660,653.16,2142.91,41059.0,OR,Umatilla,County,Oregon,17070103,680660,E:\or_statewide\climate_data\gridmet_historical_680660.csv
45.525,-119.141666633,680661,736.96,2417.85,41059.0,OR,Umatilla,County,Oregon,17070103,680661,E:\or_statewide\climate_data\gridmet_historical_680661.csv
45.525,-119.099999967,680662,780.48,2560.63,41059.0,OR,Umatilla,County,Oregon,17070103,680662,E:\or_statewide\climate_data\gridmet_historical_680662.csv
45.525,-119.0583333,680663,796.6,2613.52,41059.0,OR,Umatilla,County,Oregon,17070103,680663,E:\or_statewide\climate_data\gridmet_historical_680663.csv
45.525,-119.016666633,680664,746.0,2447.51,41059.0,OR,Umatilla,County,Oregon,17070103,680664,E:\or_statewide\climate_data\gridmet_historical_680664.csv
45.525,-118.974999967,680665,708.84,2325.59,41059.0,OR,Umatilla,County,Oregon,17070103,680665,E:\or_statewide\climate_data\gridmet_historical_680665.csv
45.525,-118.9333333,680666,664.16,2179.0,41059.0,OR,Umatilla,County,Oregon,17070103,680666,E:\or_statewide\climate_data\gridmet_historical_680666.csv
45.525,-118.891666633,680667,594.48,1950.39,41059.0,OR,Umatilla,County,Oregon,17070103,680667,E:\or_statewide\climate_data\gridmet_historical_680667.csv
45.525,-118.849999967,680668,526.0,1725.72,41059.0,OR,Umatilla,County,Oregon,17070103,680668,E:\or_statewide\climate_data\gridmet_historical_680668.csv
45.525,-118.8083333,680669,474.76,1557.61,41059.0,OR,Umatilla,County,Oregon,17070103,680669,E:\or_statewide\climate_data\gridmet_historical_680669.csv
45.525,-118.766666633,680670,465.8,1528.22,41059.0,OR,Umatilla,County,Oregon,17070103,680670,E:\or_statewide\climate_data\gridmet_historical_680670.csv
45.525,-118.724999967,680671,528.84,1735.04,41059.0,OR,Umatilla,County,Oregon,17070103,680671,E:\or_statewide\climate_data\gridmet_historical_680671.csv
45.525,-118.6833333,680672,647.44,2124.15,41059.0,OR,Umatilla,County,Oregon,17070103,680672,E:\or_statewide\climate_data\gridmet_historical_680672.csv
45.525,-118.099999967,680686,1471.48,4827.69,41061.0,OR,Union,County,Oregon,17060104,680686,E:\or_statewide\climate_data\gridmet_historical_680686.csv
45.525,-118.0583333,680687,959.08,3146.59,41061.0,OR,Union,County,Oregon,17060104,680687,E:\or_statewide\climate_data\gridmet_historical_680687.csv
45.525,-118.016666633,680688,884.96,2903.41,41061.0,OR,Union,County,Oregon,17060104,680688,E:\or_statewide\climate_data\gridmet_historical_680688.csv
45.525,-117.974999967,680689,952.16,3123.88,41061.0,OR,Union,County,Oregon,17060104,680689,E:\or_statewide\climate_data\gridmet_historical_680689.csv
45.525,-117.9333333,680690,953.0,3126.64,41061.0,OR,Union,County,Oregon,17060104,680690,E:\or_statewide\climate_data\gridmet_historical_680690.csv
45.525,-117.891666633,680691,882.8,2896.33,41061.0,OR,Union,County,Oregon,17060104,680691,E:\or_statewide\climate_data\gridmet_historical_680691.csv
45.525,-117.849999967,680692,982.92,3224.8,41061.0,OR,Union,County,Oregon,17060104,680692,E:\or_statewide\climate_data\gridmet_historical_680692.csv
45.525,-117.8083333,680693,1046.64,3433.86,41061.0,OR,Union,County,Oregon,17060104,680693,E:\or_statewide\climate_data\gridmet_historical_680693.csv
45.525,-117.766666633,680694,1208.56,3965.09,41061.0,OR,Union,County,Oregon,17060104,680694,E:\or_statewide\climate_data\gridmet_historical_680694.csv
45.525,-117.5583333,680699,1273.68,4178.74,41063.0,OR,Wallowa,County,Oregon,17060105,680699,E:\or_statewide\climate_data\gridmet_historical_680699.csv
45.525,-117.516666633,680700,1184.16,3885.04,41063.0,OR,Wallowa,County,Oregon,17060105,680700,E:\or_statewide\climate_data\gridmet_historical_680700.csv
45.525,-117.474999967,680701,977.36,3206.56,41063.0,OR,Wallowa,County,Oregon,17060105,680701,E:\or_statewide\climate_data\gridmet_historical_680701.csv
45.525,-117.4333333,680702,993.6,3259.84,41063.0,OR,Wallowa,County,Oregon,17060105,680702,E:\or_statewide\climate_data\gridmet_historical_680702.csv
45.525,-117.391666633,680703,1112.6,3650.26,41063.0,OR,Wallowa,County,Oregon,17060105,680703,E:\or_statewide\climate_data\gridmet_historical_680703.csv
45.525,-117.349999967,680704,1189.56,3902.76,41063.0,OR,Wallowa,County,Oregon,17060105,680704,E:\or_statewide\climate_data\gridmet_historical_680704.csv
45.525,-117.3083333,680705,1269.44,4164.83,41063.0,OR,Wallowa,County,Oregon,17060105,680705,E:\or_statewide\climate_data\gridmet_historical_680705.csv
45.525,-117.266666633,680706,1294.56,4247.24,41063.0,OR,Wallowa,County,Oregon,17060105,680706,E:\or_statewide\climate_data\gridmet_historical_680706.csv
45.525,-117.224999967,680707,1297.36,4256.43,41063.0,OR,Wallowa,County,Oregon,17060106,680707,E:\or_statewide\climate_data\gridmet_historical_680707.csv
45.525,-117.1833333,680708,1308.48,4292.91,41063.0,OR,Wallowa,County,Oregon,17060106,680708,E:\or_statewide\climate_data\gridmet_historical_680708.csv
45.525,-117.141666633,680709,1409.2,4623.36,41063.0,OR,Wallowa,County,Oregon,17060106,680709,E:\or_statewide\climate_data\gridmet_historical_680709.csv
45.525,-117.099999967,680710,1353.48,4440.55,41063.0,OR,Wallowa,County,Oregon,17060106,680710,E:\or_statewide\climate_data\gridmet_historical_680710.csv
45.525,-116.891666633,680715,1259.52,4132.28,41063.0,OR,Wallowa,County,Oregon,17060102,680715,E:\or_statewide\climate_data\gridmet_historical_680715.csv
45.525,-116.849999967,680716,946.64,3105.77,41063.0,OR,Wallowa,County,Oregon,17060102,680716,E:\or_statewide\climate_data\gridmet_historical_680716.csv
45.525,-116.8083333,680717,948.6,3112.2,41063.0,OR,Wallowa,County,Oregon,17060102,680717,E:\or_statewide\climate_data\gridmet_historical_680717.csv
45.525,-116.5583333,680723,872.2,2861.55,41063.0,OR,Wallowa,County,Oregon,17060101,680723,E:\or_statewide\climate_data\gridmet_historical_680723.csv
45.525,-116.516666633,680724,795.2,2608.92,16049.0,ID,Idaho,County,Idaho,17060101,680724,E:\or_statewide\climate_data\gridmet_historical_680724.csv
45.5666666667,-123.891666633,681933,134.533,441.381,41057.0,OR,Tillamook,County,Oregon,17100203,681933,E:\or_statewide\climate_data\gridmet_historical_681933.csv
45.5666666667,-123.849999967,681934,247.267,811.243,41057.0,OR,Tillamook,County,Oregon,17100203,681934,E:\or_statewide\climate_data\gridmet_historical_681934.csv
45.5666666667,-123.599999967,681940,356.133,1168.42,41057.0,OR,Tillamook,County,Oregon,17100203,681940,E:\or_statewide\climate_data\gridmet_historical_681940.csv
45.5666666667,-123.224999967,681949,223.167,732.175,41067.0,OR,Washington,County,Oregon,17090010,681949,E:\or_statewide\climate_data\gridmet_historical_681949.csv
45.5666666667,-123.1833333,681950,128.033,420.056,41067.0,OR,Washington,County,Oregon,17090010,681950,E:\or_statewide\climate_data\gridmet_historical_681950.csv
45.5666666667,-123.141666633,681951,93.8333,307.852,41067.0,OR,Washington,County,Oregon,17090010,681951,E:\or_statewide\climate_data\gridmet_historical_681951.csv
45.5666666667,-123.099999967,681952,55.2333,181.212,41067.0,OR,Washington,County,Oregon,17090010,681952,E:\or_statewide\climate_data\gridmet_historical_681952.csv
45.5666666667,-123.0583333,681953,55.7333,182.852,41067.0,OR,Washington,County,Oregon,17090010,681953,E:\or_statewide\climate_data\gridmet_historical_681953.csv
45.5666666667,-123.016666633,681954,58.3,191.273,41067.0,OR,Washington,County,Oregon,17090010,681954,E:\or_statewide\climate_data\gridmet_historical_681954.csv
45.5666666667,-122.974999967,681955,56.5,185.367,41067.0,OR,Washington,County,Oregon,17090010,681955,E:\or_statewide\climate_data\gridmet_historical_681955.csv
45.5666666667,-122.9333333,681956,61.7,202.428,41067.0,OR,Washington,County,Oregon,17090010,681956,E:\or_statewide\climate_data\gridmet_historical_681956.csv
45.5666666667,-122.891666633,681957,68.0667,223.316,41067.0,OR,Washington,County,Oregon,17090010,681957,E:\or_statewide\climate_data\gridmet_historical_681957.csv
45.5666666667,-122.849999967,681958,79.7667,261.702,41067.0,OR,Washington,County,Oregon,17090010,681958,E:\or_statewide\climate_data\gridmet_historical_681958.csv
45.5666666667,-122.8083333,681959,167.733,550.305,41051.0,OR,Multnomah,County,Oregon,17090010,681959,E:\or_statewide\climate_data\gridmet_historical_681959.csv
45.5666666667,-122.766666633,681960,194.3,637.467,41051.0,OR,Multnomah,County,Oregon,17090012,681960,E:\or_statewide\climate_data\gridmet_historical_681960.csv
45.5666666667,-122.724999967,681961,43.9667,144.248,41051.0,OR,Multnomah,County,Oregon,17090012,681961,E:\or_statewide\climate_data\gridmet_historical_681961.csv
45.5666666667,-122.6833333,681962,36.9333,121.172,41051.0,OR,Multnomah,County,Oregon,17090012,681962,E:\or_statewide\climate_data\gridmet_historical_681962.csv
45.5666666667,-122.641666633,681963,40.7667,133.749,41051.0,OR,Multnomah,County,Oregon,17090012,681963,E:\or_statewide\climate_data\gridmet_historical_681963.csv
45.5666666667,-122.599999967,681964,31.7667,104.221,41051.0,OR,Multnomah,County,Oregon,17090012,681964,E:\or_statewide\climate_data\gridmet_historical_681964.csv
45.5666666667,-122.5583333,681965,21.6667,71.085,41051.0,OR,Multnomah,County,Oregon,17090012,681965,E:\or_statewide\climate_data\gridmet_historical_681965.csv
45.5666666667,-122.516666633,681966,11.2667,36.9642,41051.0,OR,Multnomah,County,Oregon,17080003,681966,E:\or_statewide\climate_data\gridmet_historical_681966.csv
45.5666666667,-122.474999967,681967,13.0667,42.8698,41051.0,OR,Multnomah,County,Oregon,17080003,681967,E:\or_statewide\climate_data\gridmet_historical_681967.csv
45.5666666667,-122.4333333,681968,27.6667,90.77,,,,,,17080003,681968,E:\or_statewide\climate_data\gridmet_historical_681968.csv
45.5666666667,-122.391666633,681969,10.1667,33.3553,41051.0,OR,Multnomah,County,Oregon,17080001,681969,E:\or_statewide\climate_data\gridmet_historical_681969.csv
45.5666666667,-122.349999967,681970,10.2,33.4646,,,,,,17080001,681970,E:\or_statewide\climate_data\gridmet_historical_681970.csv
45.5666666667,-122.3083333,681971,22.36,73.3596,53011.0,WA,Clark,County,Washington,17080001,681971,E:\or_statewide\climate_data\gridmet_historical_681971.csv
45.5666666667,-122.266666633,681972,87.64,287.533,53011.0,WA,Clark,County,Washington,17080001,681972,E:\or_statewide\climate_data\gridmet_historical_681972.csv
45.5666666667,-122.224999967,681973,144.12,472.835,53059.0,WA,Skamania,County,Washington,17080001,681973,E:\or_statewide\climate_data\gridmet_historical_681973.csv
45.5666666667,-122.1833333,681974,100.88,330.971,41051.0,OR,Multnomah,County,Oregon,17080001,681974,E:\or_statewide\climate_data\gridmet_historical_681974.csv
45.5666666667,-122.141666633,681975,269.16,883.071,41051.0,OR,Multnomah,County,Oregon,17080001,681975,E:\or_statewide\climate_data\gridmet_historical_681975.csv
45.5666666667,-122.099999967,681976,474.92,1558.14,41051.0,OR,Multnomah,County,Oregon,17080001,681976,E:\or_statewide\climate_data\gridmet_historical_681976.csv
45.5666666667,-121.641666633,681987,456.8,1498.69,41027.0,OR,Hood River,County,Oregon,17070105,681987,E:\or_statewide\climate_data\gridmet_historical_681987.csv
45.5666666667,-121.599999967,681988,461.64,1514.57,41027.0,OR,Hood River,County,Oregon,17070105,681988,E:\or_statewide\climate_data\gridmet_historical_681988.csv
