HUC8_all,Year,ACRES FTR GEOM,ET VOLUME,EFF VOLUME,CU VOLUME,AW VOLUME,ET RATE,EFF RATE,CU RATE,AW RATE
Lower Deschutes (17070306),2014,38570.41457739935,93800.92970541486,29153.415070058803,64647.51463535604,89341.08370104319,2.43193988794661,0.7558491499114319,1.6760907380351773,2.316311211064693
Lower Deschutes (17070306),2015,36546.27346670557,89502.93237263555,24337.853054399562,65165.07931823592,89817.04330249068,2.4490303355874197,0.6659462305116242,1.7830841050757935,2.4576252181858136
Lower Deschutes (17070306),2016,36107.395670699756,83214.54680782983,27622.606954079223,55591.93985375037,76885.30766670754,2.3046399570533507,0.7650124424923361,1.539627514561008,2.1293506839402996
Lower Deschutes (17070306),2017,37653.1683330184,88710.13049443264,29781.28038992075,58928.850104511796,81621.9076539179,2.3559805036815966,0.7909369040746905,1.5650435996069036,2.1677301344743123
Lower Deschutes (17070306),2018,39261.64988419035,92133.94587865767,22605.801394506943,69528.14448415067,95696.95081995583,2.346665159269265,0.5757730880181302,1.7708920712511333,2.4374154194291897
Lower Deschutes (17070306),2019,37582.78025039847,81233.47733675045,30047.1762900744,51186.30104667595,70600.29439564179,2.1614547086598037,0.7994931745305305,1.3619615341292706,1.8785277173551642
Lower Deschutes (17070306),2020,34424.96418354903,75441.44585656372,18608.124543163034,56833.32131340065,77726.2883845786,2.191474926577138,0.5405415803469584,1.6509333462301785,2.2578466013836076
Lower Deschutes (17070306),2021,29141.10171426,63177.20380174939,14763.864340081933,48413.339461667434,66303.78087375409,2.1679758171543,0.5066337053707662,1.6613421117835327,2.2752667872302434
Lower Deschutes (17070306),2022,33737.380792772,66587.61264284875,24041.460253898047,42546.15238895062,58582.68309003467,1.9737042733653671,0.7126060082011099,1.2610982651642548,1.7364324589947304
Lower Deschutes (17070306),2023,30066.565661957877,60950.38627890657,20992.088052362556,39958.29822654405,54615.78330748627,2.027181519970698,0.6981870922132978,1.3289944277574017,1.8164955692491884
Lower Deschutes (17070306),2024,34158.08346597688,72884.43431939518,20725.94472970404,52158.489589691184,71258.65552359188,2.133738984272687,0.6067654454427484,1.5269735388299401,2.0861432578490238
Lower Grande Ronde (17060106),1985,3739.352437763001,6505.219079433236,4312.836402637122,2192.3826767961136,4176.323069267295,1.7396646044214181,1.1533645128184806,0.5863000916029371,1.1168573005024645
Lower Grande Ronde (17060106),1986,3873.118645748057,7210.94226003386,4887.864845711822,2323.07741432204,4427.8243178334005,1.8617922453653968,1.2619971895458877,0.5997950558195098,1.1432193854154982
Lower Grande Ronde (17060106),1987,2936.1129379558874,5556.804225418471,3000.0454043013556,2556.7588211171137,4777.269139164741,1.8925716901363816,1.0217745256045832,0.870797164531798,1.6270726774190984
Lower Grande Ronde (17060106),1988,3427.1593234429192,5932.35287840351,4155.273413891571,1777.0794645119404,3312.3955097150733,1.7309825189112822,1.2124541119136503,0.5185284069976324,0.966513429083141
Lower Grande Ronde (17060106),1989,3619.967338276987,6701.982229481431,5019.839862355371,1682.1423671260618,3223.233399024294,1.8513930108196517,1.3867086062562897,0.46468440456336246,0.890404000318542
Lower Grande Ronde (17060106),1990,3339.956549891204,6316.705160362836,4350.603397607298,1966.1017627555382,3810.5052439972524,1.8912536932759192,1.3025928129960298,0.5886608802798894,1.1408846753175206
Lower Grande Ronde (17060106),1991,4209.701505691774,7828.668361649828,4867.279275666511,2961.3890859833155,5807.326360225375,1.8596730317018886,1.1562053198037086,0.7034677118981799,1.379510246123986
Lower Grande Ronde (17060106),1992,1556.7900684493065,2939.906937352647,1965.8927608313802,974.0141765212666,1778.1732321109605,1.8884414777138456,1.2627860369057815,0.6256554408080637,1.1422048920713954
Lower Grande Ronde (17060106),1993,4438.587287396876,7557.425522821875,6256.469485815067,1300.9560370068102,2539.630029795485,1.7026646167984054,1.4095632417954171,0.2931013750029888,0.572170797903789
Lower Grande Ronde (17060106),1994,2527.5500288949747,4803.115469994294,2741.049963710145,2062.065506284147,3861.9782838029405,1.9003048070602102,1.084469123211979,0.8158356838482307,1.5279532510347056
