OPENET_ID,OWRD
ORx_1012,8
ORx_10120,7
ORx_101200,2
ORx_101201,2
ORx_101202,2
ORx_101203,2
ORx_101204,2
ORx_101205,2
ORx_101206,2
ORx_101207,2
ORx_101208,2
ORx_101209,2
ORx_10121,7
ORx_101210,2
ORx_101211,2
ORx_101212,2
ORx_101213,2
ORx_101214,2
ORx_101215,2
ORx_101216,2
ORx_101217,2
ORx_101218,2
ORx_101219,2
ORx_10122,7
ORx_101220,2
ORx_101221,2
ORx_101222,2
ORx_101223,2
ORx_101224,2
ORx_101225,2
ORx_101226,2
ORx_101227,2
ORx_101228,2
ORx_101229,2
ORx_10123,7
ORx_101230,2
ORx_101231,2
ORx_101232,2
ORx_101233,2
ORx_101234,2
ORx_101235,2
ORx_101236,2
ORx_101237,2
ORx_101238,2
ORx_101239,2
ORx_10124,7
ORx_101240,2
ORx_101241,2
ORx_101242,2
ORx_101243,2
ORx_101244,2
ORx_101245,2
ORx_101246,2
ORx_101247,2
ORx_101248,2
ORx_101249,2
ORx_10125,7
ORx_101250,2
ORx_101251,2
ORx_101252,2
ORx_101253,2
ORx_101254,2
ORx_101255,2
ORx_101256,2
ORx_101257,2
ORx_101258,2
ORx_101259,2
ORx_10126,7
ORx_101260,2
ORx_101261,2
ORx_101262,2
ORx_101263,2
ORx_101264,2
ORx_101265,2
ORx_101266,2
ORx_101267,2
ORx_101268,2
ORx_101269,2
ORx_10127,7
ORx_101270,2
ORx_101271,2
ORx_101272,2
ORx_101273,2
ORx_101274,2
ORx_101275,2
ORx_101276,2
ORx_101277,2
ORx_101278,2
ORx_101279,2
ORx_10128,7
ORx_101280,2
ORx_101281,2
ORx_101282,2
ORx_101283,2
ORx_101284,2
ORx_101285,2
ORx_101286,2
ORx_101287,2
ORx_101288,2
ORx_101289,2
ORx_10129,7
ORx_101290,2
ORx_101291,2
ORx_101292,2
ORx_101293,2
ORx_101294,2
ORx_101295,2
ORx_101296,2
ORx_101297,2
ORx_101298,2
ORx_101299,2
ORx_1013,8
ORx_10130,7
ORx_101300,2
ORx_101301,2
ORx_101302,2
ORx_101303,2
ORx_101304,2
ORx_101305,2
ORx_101306,2
ORx_101307,2
ORx_101308,2
ORx_101309,2
ORx_10131,7
ORx_101310,2
ORx_101311,2
ORx_101312,2
ORx_101313,2
ORx_101314,2
ORx_101315,2
ORx_101316,2
ORx_101317,2
ORx_101318,2
ORx_101319,2
ORx_10132,7
ORx_101320,2
ORx_101321,2
ORx_101322,2
ORx_101323,2
ORx_101324,2
ORx_101325,2
ORx_101326,2
ORx_101327,2
ORx_101328,2
ORx_101329,2
ORx_10133,7
ORx_101330,2
ORx_101331,2
ORx_101332,2
ORx_101333,2
ORx_101334,2
ORx_101335,2
ORx_101336,2
ORx_101337,2
ORx_101338,2
ORx_101339,2
ORx_10134,7
ORx_101340,2
ORx_101341,2
ORx_101342,2
ORx_101343,2
ORx_101344,2
ORx_101345,2
ORx_101346,2
ORx_101347,2
ORx_101348,2
ORx_101349,2
ORx_10135,7
ORx_101350,2
ORx_101351,2
ORx_101352,2
ORx_101353,2
ORx_101354,2
ORx_101355,2
ORx_101356,2
ORx_101357,2
ORx_101358,2
ORx_101359,2
ORx_10136,7
ORx_101360,2
ORx_101361,2
ORx_101362,2
ORx_101363,2
ORx_101364,2
ORx_101365,2
ORx_101366,2
ORx_101367,2
ORx_101368,2
ORx_101369,2
ORx_10137,7
ORx_101370,2
ORx_101371,2
ORx_101372,2
ORx_101373,2
ORx_101374,2
ORx_101375,2
ORx_101376,2
ORx_101377,2
ORx_101378,2
ORx_101379,2
ORx_10138,7
ORx_101380,2
ORx_101381,2
ORx_101382,2
ORx_101383,2
ORx_101384,2
ORx_101385,2
ORx_101386,2
ORx_101387,2
ORx_101388,2
ORx_101389,2
